post,subject
公司年度财务报告中的未抵销的递延所得税负债和未抵销的递延所得税资产是什么意思？,财会
设定受益计划对企业的影响研究用什么方法啊，求教,财会
因变量是二分类变量，自变量和调节变量是连续变量，怎么在SPSS中验证其调节效应呢？,财会
怎么使用修正的琼斯模型去判定特定一家公司有无盈余管理行为,财会
小米优先股在中国新金融工具准则下可以被确认为以公允价值计量且其变动计入其他综合收益的金融负债妈？,财会
关于互联网＋模式下我国中小企业供应链融资问题的讨论的具体例子,财会
基金本身规模、市盈率波动水平及杠杆效应等衡量是单个基金或这一行业的特异性风险，那么修正的三因素或四因素模型是不是说明了非系统性风险是不可分散的，即非系统性风险是影响基金价格的,财会
"出口供货商免费提供的货物——
之前在A供应商购买了一个设备出口，后来设备出现问题，供货商免费给我们更换了一个（没有发票），该种情况的处理除了视同内销交销项税之外还有其他处理方式能给公司节税吗？希望大神帮我解答，非常感谢！",财会
请问服务提取单的英文怎么说？一项预付费的服务，例如花2000元购买了10次美容服务。全额购买后，到美容店后提取或消费时，店员打印了1个单据，说明提取了1次服务，还剩余9次。请问这个单据在英文中准确的术语应该叫做什么？,财会
股利分配率等于每股股利除以每股收益，其中每股收益是稀释每股收益还是基本每股收益呀？,财会
2017年之前时，划分为持有待售的资产，其减值准备是否可以转回,财会
企业资本结构理论中所讲的债务，具体形式有哪些？商业信用通常是短期的，是否也可以作为常规的债务形式？,财会
"请问一下，我有100多家公司10年的数据，一共1000多个样本量，要先用主成分分析把成长性算出来，再用回归分析看一些变量对成长性的影响情况，现在有几个方案，不知道用哪个比较科学？？
1.主成分分析和回归分析10年数据都平均，得到100多组数据。
2.分年对100多家公司做一次主成分分析，做10次主成分分析得出各年100多家公司的成长性，再做回归分析
3.用10年的数据还是5年的数据比较好？
4.算出成长性的数值后，直接做回归还是先划分成成长公司1，非成长公司0，做逻辑回归比较好？",财会
"请问stata里如何实现LENNOX模型中的概率差？。
审计意见购买中关于LENNOX模型中不同审计师变更决策下，公司获得不清洁审计意见的概率之差如何在stata中实现？有相关的详细解释嘛？",财会
"经济学常识都有哪些。 
 如题，有哪些普通人应该知道的经济学常识？",财会
"公司业务范围具体在商业地产行业，一般做行业研究有哪些基本范畴？。
公司业务范围具体在商业地产行业，一般做行业研究有哪些基本范畴？",财会
"政府会计为何使用平行记账法?。
为何一般企业只用“财务会计”单一体系，而政府会计却使用“预算会计+财务会计”双体系呢？本质用意是什么？",财会
"请教从企业的年报看套期保值的盈亏情况。
将衍生工具确认为公允价值计量且其变动计入当期损益的金融资产/负债，可以通过公允价值变动收益这个报表项目看价格波动情况，那么现金流量套期和公允价值套期怎么看套期保值业务的盈亏情况呢？",财会
"关于高管变动的数据。
大家好，我的实证研究中想要加入一个当年高管是否发生变动的虚拟变量，就是如果当年管理层发生变动则取1，否则取0。请问该怎么获取数据呢？谢谢！",财会
"这篇论文的这个模型本质上是三重差分吗？。
肖明,李海涛.管理层能力对企业并购的影响研究[J].管理世界,2017,(06):184-185.（不能贴图尴尬）我理解的是merg实际上是一个渐进性双重差分，它的定义是如果企业i在t年发生并购行为就为1，否则为0，这样它本身就涵盖了时间和政策，merg再与管理层能力交互实质上就是一个三重差分，不知道理解的对不对，求各位大佬帮忙看看",财会
"迪博内部控制指数的计算方法。
写论文时引用了迪博内部控制指数，但老师要我说明该指数是如何计算的。论坛中的各位大神，有没有谁知道迪博内部控制指数具体的计算方法啊？小弟不胜感激！",财会
"自由现金流量评估企业价值。
我用自由现金流量法评估企业价值，预测未来期间的营业收入、营业成本等，我的导师说预测的太过随意，没有依据，怎么办呢？求大神们指导！",财会
"恒大地产项目与土地增值税有关的具体数据。
毕业论文写房地产开发企业的土地增值税税收筹划，请问怎么找企业的数据?
土地增值税的计算是根据开发项目的具体信息来计算的，恒大年报中并不会披露各个开发项目的信息和应交土地增值税的情况，请问怎么才能找到房地产开发企业的具体项目或者楼盘的详细数据啊?",财会
"请问股份支付中的权益结算与现金结算会计处理的逻辑是什么，请大神讲解下？谢谢！。
请问股份支付中的权益结算与现金结算会计处理的逻辑是什么，请大神讲解下？谢谢！",财会
"EXCEL做期权的二叉树模型。
求问如何用EXCEL做经典的期权二叉树模型",财会
"请问定额耗用量是指单位产品还是所有产品啊。
请问定额耗用量是指单位产品还是所有产品啊",财会
"咨询各位一下～资本资产定价模型可以用来做贷款利率定价吗？。
要写毕业论文了，想用资本资产定价模型来研究贷款利率定价问题，不知道合不合适，前来求助～无风险利率用资本成本，市场期望利率用LPR利率（央行基准利率），贝塔系数就是信贷业务系统性风险。这个思路可以吗？麻烦大家指正，提供一点意见或建议。感谢感谢～",财会
"区分上市公司是国有还是非国有。
通过10大股东持股比例来判断是国有还是非国有，那是不是10大股东第一的只要是国有法人就代表是国有企业，其余的比如境内非国有法人，境外法人之类的都是非国有企业？
因为是面板数据，所以是不是存在公司前几年是非国有企业，后面又变成国有企业了，这种现象存在吗？谢谢！",财会
"第六届中国财政学论坛（2020）录用结果出来了吗。
请问第六届中国财政学论坛（2020）录用论文结果出来了吗",财会
"家族企业。
研究家族企业实际控制人的性别以及二代对创新的影响时（2010-2019样本）样本数据需要考虑剔除2010年之后才开始家族化和上市的企业吗",财会
"股份制商业银行子公司出现财务困境母公司会救助吗。
请问大家，有会计学专业或从事相关实务的朋友们，股份制商业银行子公司出现财务困境母公司会救助吗？",财会
请问会计方面论文选题大家有什么经验？,财会
请问为什么年初未分配利润是不包括资产减值损失的呢，资产减值损失不也是利润表的吗,财会
折现现金流估值，如果每过五年有一次设备大修，致使预计现金流在每五年出现一次负值，这种情况，是不做任何处理还是要做什么处理把现金流调整成正数呢？,财会
"ETH昨日大户交易频繁散户交易热情不高
据币源社区报道称，据Searchain.io数据分析：昨日ETH市场新增地址较前日下降20，活跃地址较前日下降8%。但交易数量与前日相比确有所增加，昨日大额转账数量与前日相比也有大幅提升，总量与前日相比增加171%。大额流入交易所率较前日增加26.22%。从交易所内数据来看，昨日成交额普遍提高，其中法币交易所增加比较明显，普通交易所中，Bittrex成交额较前日相比增加94%。根据数据分析，昨日大户交易热情升温，从而带来了一小波提升，但散户交易热情并没有明显提升。今日市场行情应不会有较大提升。
本文来源：币源社区
QQ群：567981250",财会
请问用logit方法构建融资约束指数时，如果按照企业规模进行分组的话，是取每年的规模排序分组还是很多年规模的均值排序再分组？,财会
购建固定资产、无形资产和其他长期资产支付的现金'的净值变化量与购建固定资产、无形资产和其他长期资产支付的现金'的区别是什么？,财会
"费用报销。
费用报销是会计人员日常处理最多的事务，因为规范性强、重复度高、操作难度小，因而财务领导对此多不重视。有没有想过呢，费用报销占到了会计凭证量的70%以上，但凡会计能把费用报销做规范了，基础账务工作的质量很大程度就可放心了。
费用报销：一项没有得到重视的重要工作
费用报销工作如同一面镜子，可以照见公司管理的方方面面。签字流程与权签额度体现了公司的内控水平；发票审核与费用归属可折射税控风险意识；有无公款私用、贪污浪费可甄别高管的廉政程度；费用动向则能透视公司运作效能。",财会
"新租赁准则。
请问有了解新租赁准则对会计尤其是核算会计的影响吗",财会
"如何计算成本粘性。
基于weiss模型",财会
"如何写内部审计报告。
如何写内部审计报告",财会
加入交乘项后，原解释变量的显著性发生变化，怎么解释，这样合理吗？。,财会
"关于企业年度应收账款的计算。
某公司年初存货为30000元，年初应收账款为25400元，本年末计算出流动比率为3，速动比率为1.3，存货周转率为4次/年，流动资产合计为54000元，公司除应收账款以外的速动资产是微不足道的，且本年度赊销收入净额与销售成本相同，问该公司本年度应收账款周转率是多少？",财会
"为什么高管人员分红以税前收益为基础？。
求助大神解答上述问题，欢迎大家发表见解",财会
"微软收购GitHub。
请问微软收购GitHub的影响包括哪些方面，都有哪些内容？？？
有人可以获取微软收购GitHub的过程么？我怎么在网上搜索的都只有一个以75亿美元收购的结果？",财会
"实际税率计算为什么会出现负数？。
各位大神高手，走过路过，帮忙答过啊～我在计算上市公司实际税率的时候得出的数值为负数，不知道这种情况是不是正常的？大家有没有遇到过税率为负的情况？这种情况如何解释呢？如果税率不能为负，我是否应该将负数视作0处理？

我是参照李增福（2010）《税率调整、税收优惠与新企业所得税法的有效性》一文中的计算公式：实际所得税率=（所得税费用-递延所得税负债+递延所得税资产）/（税前利润-（递延所得税负债-递延所得税资产）/法定税率）。
还请大家帮帮忙啊！",财会
"经济政策不确定性指数。
请问各位圈内大神
最近研究发现，美国发布的经济政策不确定性指数与香港浸会大学发布的指数由很大差距，是不是香港浸会大学的指数更加符合中国经济的现状，两者之间存在什么关系？如果就经济政策不确定性指数对中国经济问题进行研究，应该参考浸大的指数吧？
万分感谢",财会
"请问华为建5G站点属于增值税什么范围？。
建筑安装服务？电信服务？还是其他？求救",财会
"关于增值税未来改革方向。
作为一个税法初学者，想通过探讨未来几年我国增值税的改革趋势与方向来提升自己观察税变化的眼界和格局能力",财会
"有谁知道资本的造福效应是什么意思呢？。
什么是资本的造富效应，它与市盈率和市净率什么关系，能不能详细解释下呢？谢谢啦",财会
"小白求教。
我打算做税收效应研究，可能用到哪些建模知识和统计软件呢？求经验",财会
"求问案例分析中能否用修正的jones模型计量某家上市公司的盈余管理水平。
求问若用修正的Jones模型算一家公司的盈余管理的时候，需要用到行业的数据，如果这个公司中间发生了行业的变更，比如从2011-2017是房地产行业，之后为汽车制造业，行业选择是用房地产还是制造业？感激不尽！！！！",财会
"求教，回归系数符号和理论假设相反。
本科小白在做以研发投入为中介变量，研究税收优惠对企业绩效的影响。不管怎么做（扩大样本年限，增减控制变量，更换绩效衡量指标ROEROA）得到的结果都是税收优惠（所得税费用/利润总额）与企业绩效正相关，这个回归讲道理应该是负相关呀。另外研发投入对企业绩效又是负相关了。求指教，谢谢好心人，谢谢大家。",财会
"国有股权转让。
国有企业A全资子公司B、C之间股权投资的无偿划转，由于转让方B的所有者权益全部由实收资本构成，这种情况下转让方转让对外股权投资调减实收资本是一种减资行为，如果母公司A未同步完成减资手续，转让方B是否会形成股权瑕疵，影响转让方B后面的IPO或融资呢？（因为母公司A的减资手续可能时间较长）",财会
"如何剔除财务指标与一般公认会计准则不相符的观测值。
各位大神好，我发现在一些论文的数据处理部分，作者会写这样一句话：“剔除财务指标与一般公认会计准则不相符的观测值。”

请问如何辨别出这样的观测值？具体是怎么操作的呢？谢谢！",财会
"会计初学者的提问。
会计等式：资产=负债+所有者权益。但是原材料作为资产，为什么不能算在所有者权益里？
（请教大神，感觉这个问题有点傻，可是我很疑惑）",财会
"关于融资约束指数的计算问题。
我在计算??融资约束指数的时候，用的是况文学的LFC=-3.784?8.995Lev-3.124NWC?63.852ROE?7.992MTB?4.490Div????算出来的结果特别大，和别的论文上只有零点几负零点几的结果相差甚远??实在不清楚是为什么，有没有大神可以帮忙解答一下",财会
"求问有多个IRR时，选择不同的基准收益率有不同的结果要怎么办？。
假定R0=-9950R1=24500R2=-15000算出内部收益率为32.7%或14.06%.如果基准收益率是20%，净现值为50，如果设定基准收益率是10%，净现值反而为负。这是说明可接受的最低收益比较低的时候这个项目反而是不可接受的吗？这种情况应该怎么办？谢谢大家==",财会
"投资效率。
有大佬可以解答一下衡量企业投资效率的典型指标是什么吗？",财会
"应计收益的内涵。
财务报表中应计收益这个指标，是否可真实反映企业运营情况？",财会
"求助。
如果甲乙两国合并成一个国家，会对GDP有何影响？
能否解释下为什么没有影响",财会
代理问题中的reportingcost具体指什么呀,财会
衡量审计业务复杂度，需要用到企业业务分部门的个数，数据能从CSMAR中找到么？,财会
如何用因子分析法将多个指标综合成一个指标?是根据最后的因子综合得分公式得出一个综合指标吗？,财会
请问有人知道知道2018年采用新收入准则的18家企业吗？需要做案例分析，但是找不到具体企业，拜托各位了,财会
"求大神帮忙！卫计委用补助冲抵其他医疗单位欠急救中心的钱，应如何作账务处理？
目前碰到一个问题，医疗单位欠了急救中心一笔钱，市卫生计划委员会安排给急救中心一个欠费补助，用来冲抵其他医疗单位欠急救中心的钱。按照会计准则，这笔应如何作账务处理？请问有没有大神能知道一下？？？",财会
费效比的计算公式是什么啊？能详细解释下吗？。,财会
"股东持股性质分类。
在数据库中的股东持股性质分类中，有以下几种分类方法：
111国有持股;
121国有法人持股;
131境内法人持股;
132境内自然人持股;
141境外法人持股;
142境外自然人持股;
211人民币普通股;
212境内上市的外资股;
213境外上市的外资股;
311其它。


想问一下：
（1）这几种分类的区别是什么？
（2）除了明确表明的“国有持股”、“国有法人持股”外，其他的类型是否意味着是非国有的？如“境内法人持股”就一定是非国有的，或民营的？",财会
